seq_len,wnsm_bytes_avoided,wnsm_joules_saved,std_attn_joules,waller_attn_joules,energy_reduction_x
128,196608,3.932160e-6,3.145728e-5,1.572864e-5,2.00
512,786432,1.572864e-5,5.033165e-4,6.291456e-5,8.00
2048,3145728,6.291456e-5,8.053064e-3,2.516582e-4,32.00
8192,12582912,2.516582e-4,1.288490e-1,1.006633e-3,128.00
32768,50331648,1.006633e-3,2.061584e0,4.026532e-3,512.00
65536,100663296,2.013266e-3,8.246337e0,8.053064e-3,1024.00
131072,201326592,4.026532e-3,3.298535e1,1.610613e-2,2048.00
262144,402653184,8.053064e-3,1.319414e2,3.221225e-2,4096.00
